ItemName,ItemType,ItemGrade,ItemRequiredType,ItemRequiredGender,ItemRequiredClass,ItemSet,ItemRandomStatsId,ItemRequiredAmount,ItemImage,ItemShape,ItemEffect,ItemStackSize,ItemSlots,ItemWeight,ItemLightRange,ItemLightIntensity,ItemDurability,ItemPrice,ItemToolTip,StartItem,NeedIdentify,ShowGroupPickup,GlobalDropNotify,ClassBased,LevelBased,CanMine,CanFastRun,CanAwakening,StatMinAC,StatMaxAC,StatMinMAC,StatMaxMAC,StatMinDC,StatMaxDC,StatMinMC,StatMaxMC,StatMinSC,StatMaxSC,Stat准确,Stat敏捷,StatHP,StatMP,Stat攻击速度,Stat幸运,Stat背包负重,Stat腕力负重,Stat装备负重,Stat反弹伤害,Stat强度,Stat神圣,Stat冰冻伤害,Stat毒素伤害,Stat魔法躲避,Stat毒物躲避,Stat生命恢复,Stat法力恢复,Stat中毒恢复,Stat暴击倍率,Stat暴击伤害,Stat最大防御数率,Stat最大魔御数率,Stat最大物理攻击数率,Stat最大魔法攻击数率,Stat最大道术攻击数率,Stat攻击速度数率,Stat生命值数率,Stat法力值数率,Stat吸血数率,Stat经验增长数率,Stat物品掉落数率,Stat金币收益数率,Stat采矿出矿数率,Stat宝石成功数率,Stat钓鱼成功数率,Stat大师概率数率,Stat技能熟练度倍率,Stat攻击增伤,Stat伴侣专享经验数率,Stat师徒专享伤害数率,Stat师徒专享经验数率,Stat伤害降低数率,Stat气功盾恢复数率,Stat气功盾恢复生命值,Stat法力值消耗数率,Stat传送技法力消耗数率,StatHero,BindDontDeathdrop,BindDontDrop,BindDontSell,BindDontStore,BindDontTrade,BindDontRepair,BindDontUpgrade,BindDestroyOnDrop,BindBreakOnDeath,BindBindOnEquip,BindNoSRepair,BindNoWeddingRing,BindUnableToRent,BindUnableToDisassemble,BindNoMail,BindNoHero,SpecialParalize,SpecialTeleport,SpecialClearRing,SpecialProtection,SpecialRevival,SpecialMuscle,SpecialFlame,SpecialHealing,SpecialProbe,SpecialSkill,SpecialNoDuraLoss,SpecialBlink,
虫血,任务物品,普通,Level,性别不限,全职业,非套装,0,0,4,0,0,12,0,1,0,0,0,100,"",False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
肉干,肉,None,Level,性别不限,全职业,非套装,0,0,5,0,0,1,0,2,0,0,8000,500,"",False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
精瘦肉,坐骑食物,普通,Level,性别不限,全职业,非套装,0,0,5,0,0,1,0,1,0,0,500,50000,"",False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
鹿茸,药水,普通,Level,性别不限,全职业,非套装,0,0,6,1,0,1,0,1,0,0,0,100,"",False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
鸡肉,肉,None,Level,性别不限,全职业,非套装,0,0,13,0,0,1,0,1,0,0,4000,80,"",False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
营养满分鸡肉,肉,None,Level,性别不限,全职业,非套装,0,0,13,0,0,1,0,1,0,0,4000,80,"",False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
疗伤药,药水,普通,Level,性别不限,全职业,非套装,0,0,14,1,0,1,0,1,0,0,0,12000,"",False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,100,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
太阳水,药水,普通,Level,性别不限,全职业,非套装,0,0,16,1,0,20,0,2,0,0,0,1000,"立即恢复型药品",False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,70,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
蛇酒,杂物,None,Level,性别不限,全职业,非套装,0,0,17,0,0,1,0,1,0,0,0,25000,"",False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
食人花茶,任务物品,普通,Level,性别不限,全职业,非套装,0,0,18,0,0,1,0,1,0,0,0,100,"",False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
解毒剂,任务物品,普通,Level,性别不限,全职业,非套装,0,0,19,0,0,1,0,1,0,0,0,100,"",False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
中药,特殊消耗品,普通,Level,性别不限,全职业,非套装,0,0,20,11,0,5,0,2,0,0,0,2000,"降低PK值10点",False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,
蝙蝠毒,任务物品,普通,Level,性别不限,全职业,非套装,0,0,21,0,0,1,0,1,0,0,0,200,"",False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
祝福油,卷轴,普通,Level,性别不限,全职业,非套装,0,0,26,3,0,20,0,1,0,0,0,10000,"",False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
修复油,卷轴,普通,Level,性别不限,全职业,非套装,0,0,27,4,0,1,0,1,0,0,0,500,"",False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
体力恢复药(大),药水,普通,Level,性别不限,全职业,非套装,0,0,28,0,0,20,0,3,0,0,0,450,"",False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
魔力恢复药(大),药水,普通,Level,性别不限,全职业,非套装,0,0,29,0,0,20,0,3,0,0,0,450,"",False,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
木剑,武器,普通,Level,性别不限,战法道,非套装,0,1,30,0,0,1,0,7,0,0,5000,50,"",True,False,False,False,True,True,False,False,False,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
青铜剑,武器,普通,Level,性别不限,战法道,非套装,1,5,31,2,0,1,0,7,0,0,8000,900,"",False,False,False,False,False,False,False,False,False,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
青铜斧,武器,普通,Level,性别不限,战法道,非套装,1,13,32,4,0,1,0,13,0,0,10000,1500,"",False,False,False,False,False,False,False,False,False,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
纯铜斧,武器,普通,Level,性别不限,战法道,非套装,1,13,32,4,0,1,0,13,0,0,10000,2500,"",False,False,False,False,False,False,False,False,False,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
短剑,武器,普通,Level,性别不限,战法道,非套装,1,7,33,3,0,1,0,8,0,0,9000,1000,"",False,False,False,False,False,False,False,False,False,0,0,0,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
破坏短剑,武器,普通,Level,性别不限,战法道,非套装,1,10,33,3,0,1,0,10,0,0,10000,900,"",False,False,False,False,False,False,False,False,False,0,0,0,0,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
坚硬凌风,武器,普通,Level,性别不限,战法道,非套装,1,19,34,8,0,1,0,20,0,0,18000,5000,"",False,False,False,False,False,False,False,False,False,0,0,0,0,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
凌风,武器,普通,Level,性别不限,战法道,非套装,1,19,34,8,0,1,0,20,0,0,19000,5000,"",False,False,False,False,False,False,False,False,False,0,0,0,0,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
锋锐之匕,武器,普通,Level,性别不限,战法道,非套装,1,2,35,1,0,1,0,5,0,0,5000,1000,"",False,False,False,False,False,False,False,False,False,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
匕首,武器,普通,Level,性别不限,全职业,非套装,1,2,35,1,0,1,0,5,0,0,5000,500,"",False,False,False,False,False,False,False,False,False,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
铁剑,武器,普通,Level,性别不限,战法道,非套装,1,10,36,2,0,1,0,10,0,0,10000,1100,"",False,False,False,False,False,False,False,False,False,0,0,0,0,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
青铜短剑,武器,普通,Level,性别不限,战法道,非套装,1,5,36,2,0,1,0,7,0,0,6000,900,"",False,False,False,False,False,False,False,False,False,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
斩马,武器,普通,Level,性别不限,战法道,非套装,1,20,37,9,0,1,0,27,0,0,19000,6000,"",False,False,False,False,False,False,False,False,False,0,0,0,0,5,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
斩马刀,武器,普通,Level,性别不限,战法道,非套装,1,20,37,9,0,1,0,27,0,0,19000,6000,"",False,False,False,False,False,False,False,False,False,0,0,0,0,5,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
银蛇,武器,普通,Level,性别不限,战法道,非套装,1,26,38,18,0,1,0,26,0,0,24000,20000,"",False,False,False,False,False,False,False,False,False,0,0,0,0,7,14,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
精锐银蛇,武器,普通,Level,性别不限,战法道,非套装,1,26,38,18,0,1,0,26,0,0,24000,15000,"",False,False,False,False,False,False,False,False,False,0,0,0,0,7,14,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
海魂,武器,普通,Level,性别不限,战法道,非套装,1,15,39,6,0,1,0,12,0,0,12000,4000,"",False,False,False,False,False,False,False,False,False,0,0,0,0,3,10,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
锋锐海魂,武器,普通,Level,性别不限,战法道,非套装,1,15,39,6,0,1,0,12,0,0,12000,4000,"",False,False,False,False,False,False,False,False,False,0,0,0,0,3,10,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
修罗,武器,普通,Level,性别不限,战法道,非套装,1,22,40,14,0,1,0,40,0,0,25000,10000,"",False,False,False,False,False,False,False,False,False,0,0,0,0,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
炼狱,武器,普通,Level,性别不限,战法道,非套装,1,26,41,16,0,1,0,60,0,0,25000,20000,"",False,False,False,False,False,False,False,False,False,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
精锐炼狱,武器,普通,Level,性别不限,战法道,非套装,1,26,41,16,0,1,0,60,0,0,28000,20000,"",False,False,False,False,False,False,False,False,False,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,
