MonsterName,MonsterImage,MonsterAI,MonsterEffect,MonsterLevel,MonsterLight,MonsterAttackSpeed,MonsterMoveSpeed,MonsterViewRange,MonsterCoolEye,MonsterExperience,MonsterCanPush,MonsterAutoRev,MonsterUndead,MonsterCanTame,MonsterDropPath,StatMinAC,StatMaxAC,StatMinMAC,StatMaxMAC,StatMinDC,StatMaxDC,StatMinMC,StatMaxMC,StatMinSC,StatMaxSC,Stat准确,Stat敏捷,StatHP,StatMP,Stat攻击速度,Stat幸运,Stat背包负重,Stat腕力负重,Stat装备负重,Stat反弹伤害,Stat强度,Stat神圣,Stat冰冻伤害,Stat毒素伤害,Stat魔法躲避,Stat毒物躲避,Stat生命恢复,Stat法力恢复,Stat中毒恢复,Stat暴击倍率,Stat暴击伤害,Stat最大防御数率,Stat最大魔御数率,Stat最大物理攻击数率,Stat最大魔法攻击数率,Stat最大道术攻击数率,Stat攻击速度数率,Stat生命值数率,Stat法力值数率,Stat吸血数率,Stat经验增长数率,Stat物品掉落数率,Stat金币收益数率,Stat采矿出矿数率,Stat宝石成功数率,Stat钓鱼成功数率,Stat大师概率数率,Stat技能熟练度倍率,Stat攻击增伤,Stat伴侣专享经验数率,Stat师徒专享伤害数率,Stat师徒专享经验数率,Stat伤害降低数率,Stat气功盾恢复数率,Stat气功盾恢复生命值,Stat法力值消耗数率,Stat传送技法力消耗数率,StatHero,
古代掷斧骷髅,AxeSkeleton,21,0,18,1,2000,1500,7,0,1450,True,True,True,False,,0,0,0,0,4,9,0,0,0,0,15,12,550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
古代掷斧骷髅0,AxeSkeleton,21,0,18,1,2000,1500,7,0,1450,True,True,True,False,,0,0,0,0,4,9,0,0,0,0,15,12,550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
弦月坛道士1,AxeSkeleton,992,0,18,1,2500,1500,7,0,140,True,True,True,False,,0,0,0,0,4,9,0,0,0,0,15,12,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
骷髅战士,BoneFighter,0,0,19,1,2500,1500,7,0,150,True,True,True,False,,0,0,0,0,2,15,0,0,0,0,11,13,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
骷髅战士0,BoneFighter,0,0,19,1,2500,1500,7,0,150,True,True,True,False,,0,0,0,0,2,15,0,0,0,0,11,13,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
古代骷髅战士,BoneFighter,0,0,19,1,2000,1500,7,0,600,True,True,True,False,,0,0,0,0,18,37,0,0,0,0,11,13,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
古代骷髅战士0,BoneFighter,0,0,19,1,2000,1500,7,0,600,True,True,True,False,,0,0,0,0,18,37,0,0,0,0,11,13,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
弦月坛刺客1,BoneFighter,993,0,19,1,2500,1500,7,0,150,True,True,True,False,,0,0,0,0,2,15,0,0,0,0,11,13,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
骷髅战将,BoneWarrior,0,0,20,1,2300,1200,7,0,160,True,True,True,False,,0,2,0,1,7,13,0,0,0,0,12,15,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
骷髅战将0,BoneWarrior,0,0,20,1,2300,1200,7,0,160,True,True,True,False,,0,2,0,1,7,13,0,0,0,0,12,15,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
古代骷髅战将,BoneWarrior,0,0,20,1,2000,1200,7,0,650,True,True,True,False,,0,2,0,1,18,38,0,0,0,0,12,15,1550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
古代骷髅战将0,BoneWarrior,0,0,20,1,2000,1200,7,0,650,True,True,True,False,,0,2,0,1,18,38,0,0,0,0,12,15,1550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
弦月坛战士1,BoneWarrior,990,0,20,1,2300,1200,7,0,160,True,True,True,False,,0,2,0,1,7,13,0,0,0,0,12,15,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
洞蛆,CaveMaggot,24,0,31,1,2500,1000,7,0,122,True,True,False,False,,0,0,0,0,6,8,0,0,0,0,12,12,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
洞蛆0,CaveMaggot,24,0,31,1,2500,1000,7,0,122,True,True,False,False,,0,0,0,0,6,8,0,0,0,0,12,12,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
多钩猫,HookingCat,0,0,13,1,2500,1500,7,0,23,True,True,False,True,,0,0,0,0,2,4,0,0,0,0,5,7,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
多钩猫0,HookingCat,0,0,13,1,2500,1500,7,0,23,True,True,False,True,,0,0,0,0,2,4,0,0,0,0,6,7,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
钉耙猫,RakingCat,0,0,13,1,2500,1800,7,0,27,True,True,False,True,,0,0,0,0,2,4,0,0,0,0,5,8,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
钉耙猫0,RakingCat,0,0,13,1,2500,1800,7,0,27,True,True,False,True,,0,0,0,0,2,4,0,0,0,0,5,8,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
稻草人,Scarecrow,0,0,10,1,2500,1500,7,0,15,True,True,True,False,,0,0,0,0,1,2,0,0,0,0,5,8,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
稻草人0,Scarecrow,0,0,10,1,2500,1500,7,0,15,True,True,True,False,,0,0,0,0,1,2,0,0,0,0,5,8,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
暗黑战士,Dark,21,0,26,1,2500,900,8,100,240,True,True,False,True,,3,3,2,2,9,16,0,0,0,0,15,15,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
暗黑战士0,Dark,21,0,26,1,2500,900,8,100,240,True,True,False,True,,3,3,2,2,9,16,0,0,0,0,15,15,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
粪虫,Dung,24,0,26,1,2500,1800,7,0,215,True,True,False,False,,3,3,2,2,9,17,0,0,0,0,12,15,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
粪虫0,Dung,24,0,26,1,2500,1800,7,0,215,True,True,False,False,,3,3,2,2,9,17,0,0,0,0,12,15,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
沃玛战士,WoomaSoldier,0,0,30,1,2000,1000,7,0,340,True,True,True,False,,3,3,2,2,16,28,0,0,0,0,13,15,285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
沃玛战士0,WoomaSoldier,0,0,30,1,2000,1000,7,0,340,True,True,True,False,,3,3,2,2,16,28,0,0,0,0,13,15,285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
古代沃玛战士,WoomaSoldier,0,0,30,1,2000,1000,7,0,340,True,True,True,False,,3,3,2,2,16,28,0,0,0,0,13,15,285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
古代沃玛战士0,WoomaSoldier,0,0,30,1,2000,1000,7,0,340,True,True,True,False,,3,3,2,2,16,28,0,0,0,0,13,15,285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
火焰沃玛,FlamingWooma,31,0,31,1,1700,800,7,0,350,True,True,True,False,,0,0,0,0,14,26,0,0,0,0,20,20,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
火焰沃玛0,FlamingWooma,31,0,31,1,1700,800,7,0,350,True,True,True,False,,0,0,0,0,14,26,0,0,0,0,20,20,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
古代火焰沃玛,FlamingWooma,31,0,31,1,1700,800,7,0,350,True,True,True,False,,0,0,0,0,14,26,0,0,0,0,20,20,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
古代火焰沃玛0,FlamingWooma,31,0,31,1,1700,800,7,0,350,True,True,True,False,,0,0,0,0,14,26,0,0,0,0,20,20,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
金胜战士,FlamingWooma,995,0,31,1,1700,800,7,0,350,True,True,True,False,,0,0,0,0,14,26,0,0,0,0,20,20,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
金胜战士0,FlamingWooma,995,0,31,1,1700,800,7,0,350,True,True,True,False,,0,0,0,0,14,26,0,0,0,0,20,20,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
沃玛勇士,WoomaFighter,0,0,30,1,2000,1000,7,0,340,True,True,True,False,,3,3,2,2,15,28,0,0,0,0,13,15,285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
沃玛勇士0,WoomaFighter,0,0,30,1,2000,1000,7,0,340,True,True,True,False,,3,3,2,2,15,28,0,0,0,0,13,15,285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
古代沃玛勇士,WoomaFighter,0,0,30,1,2000,1000,7,0,340,True,True,True,False,,3,3,2,2,15,28,0,0,0,0,13,15,285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
古代沃玛勇士0,WoomaFighter,0,0,30,1,2000,1000,7,0,340,True,True,True,False,,3,3,2,2,15,28,0,0,0,0,13,15,285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
圣术士,WoomaFighter,996,0,30,1,2000,1000,7,0,340,True,True,True,False,,3,3,2,2,15,28,20,54,0,0,5,15,2070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
圣术士0,WoomaFighter,996,0,30,1,2000,1000,7,0,340,True,True,True,False,,3,3,2,2,15,28,20,54,0,0,13,15,2850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
沃玛战将,WoomaWarrior,0,0,30,1,2000,1000,7,0,310,True,True,True,False,,3,3,2,2,16,28,0,0,0,0,13,15,285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
沃玛战将0,WoomaWarrior,0,0,30,1,2000,1000,7,0,310,True,True,True,False,,3,3,2,2,16,28,0,0,0,0,13,15,285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
古代沃玛战将,WoomaWarrior,0,0,30,1,2000,1000,7,0,310,True,True,True,False,,3,3,2,2,16,28,0,0,0,0,13,15,285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
古代沃玛战将0,WoomaWarrior,0,0,30,1,2000,1000,7,0,310,True,True,True,False,,3,3,2,2,16,28,0,0,0,0,13,15,285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
